Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Sanmatenga,Loroum,Yatenga,Mouhoun,Komonjdjari,Bam,Kossi,Gourma,Nayala,Yagha,Soum,Oudalan,Sourou,Kompienga,Banwa,Gnagna,Namentenga,Zondoma,Tapoa,Bale,Passore
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant retirer les enfants de l’école: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,NA,NA,1,0,1,NA,2,NA,NA,NA,NA,NA,0,NA,2,NA,NA,2,NA,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant retirer les enfants de l’école: Non, parce que je n’en ai pas eu besoin",NA,97,90,91,75,77,76,93,90,73,79,93,92,98,81,67,81,84,85,73,68,83,83
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant retirer les enfants de l’école: Oui,NA,1,4,3,3,7,6,4,0,5,10,0,3,2,4,16,2,5,5,2,3,2,2
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant un membre s’engageant dans activités risquées/illégales  dans 30 derniers jours: Non pertinent / non applicable,NA,1,13,7,21,18,16,9,17,14,15,1,8,NA,19,7,9,7,20,31,17,6,24
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant un membre s’engageant dans activités risquées/illégales  dans 30 derniers jours: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant un membre s’engageant dans activités risquées/illégales  dans 30 derniers jours: Non, parce que je n’en ai pas eu besoin",NA,98,87,93,79,82,84,90,83,86,85,99,92,100,81,92,91,93,79,69,83,94,75
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant un membre s’engageant dans activités risquées/illégales  dans 30 derniers jours: Oui,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,1,NA,0,NA,NA,0,NA,1
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu actifs non-productifs dans 30 derniers jours: Non pertinent / non applicable,NA,1,9,5,9,26,21,6,18,14,17,3,9,0,22,21,6,17,15,17,24,14,22
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu actifs non-productifs dans 30 derniers jours: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,1,2,5,0,1,0,0,0,1,NA,0,3,0,1,3,NA,1,2,1,1,NA,3
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu actifs non-productifs dans 30 derniers jours: Non, parce que je n’en ai pas eu besoin",NA,91,89,74,84,71,76,93,71,82,77,79,72,94,73,64,90,75,82,81,70,86,74
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu actifs non-productifs dans 30 derniers jours: Oui,NA,7,0,16,7,2,2,1,11,2,6,18,15,5,3,12,3,7,1,1,6,NA,1
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu des actifs productifs dans 30 derniers jours: Non pertinent / non applicable,NA,2,5,5,8,20,12,2,16,13,14,3,8,1,18,9,8,12,6,15,20,8,20
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu des actifs productifs dans 30 derniers jours: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,0,3,2,1,NA,1,0,0,1,NA,0,3,1,1,NA,NA,1,2,NA,0,NA,0
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu des actifs productifs dans 30 derniers jours: Non, parce que je n’en ai pas eu besoin",NA,88,89,80,82,76,77,93,74,80,77,83,77,96,75,74,89,76,90,84,71,91,75
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu des actifs productifs dans 30 derniers jours: Oui,NA,10,3,14,9,4,11,4,10,5,9,13,12,3,6,17,3,11,2,1,9,1,4
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu maison/parcelle/champ  dans 30 derniers jours: Non pertinent / non applicable,NA,11,21,14,32,21,30,17,11,19,14,5,27,5,15,30,13,17,22,48,32,13,41
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu maison/parcelle/champ  dans 30 derniers jours: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,NA,2,NA,NA,NA,1,0,0,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu maison/parcelle/champ  dans 30 derniers jours: Non, parce que je n’en ai pas eu besoin",NA,89,76,86,68,79,68,83,86,81,85,92,71,93,82,66,86,82,77,52,66,87,59
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu maison/parcelle/champ  dans 30 derniers jours: Oui,NA,NA,0,NA,NA,NA,1,NA,2,0,2,3,1,2,3,5,1,1,0,NA,1,NA,NA
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu plus d’animaux  dans 30 derniers jours: Non pertinent / non applicable,NA,6,21,11,14,18,12,14,7,3,7,2,19,3,14,29,7,1,17,15,19,11,10
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu plus d’animaux  dans 30 derniers jours: Non, parce que j’ai déjà épuisé cette option / stratégie et je ne peux pas continuer à le faire",NA,5,12,11,3,NA,2,10,4,7,NA,2,15,7,7,7,NA,4,7,5,4,3,3
Sécurité alimentaire,Livelihood Coping Strategies,"Ménages ayant vendu plus d’animaux  dans 30 derniers jours: Non, parce que je n’en ai pas eu besoin",NA,39,44,33,44,56,23,45,50,59,44,56,33,31,36,29,68,47,46,46,39,60,42
Sécurité alimentaire,Livelihood Coping Strategies,Ménages ayant vendu plus d’animaux  dans 30 derniers jours: Oui,NA,50,23,45,38,26,64,32,39,31,48,40,33,58,43,36,25,48,30,34,38,26,45
EHA,Mécanisme d’adaptation,"Nombre de jours réduire la quantité d'eau utilisée à  des fins domestiques (pour boire, laver, cuisiner, etc.)",Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Mécanisme d’adaptation,"Réduire la quantité d'eau utilisée à  des fins domestiques (pour boire, laver, cuisiner, etc.): Je ne sais pas / préfère ne pas répondre",NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,1,NA
EHA,Mécanisme d’adaptation,"Réduire la quantité d'eau utilisée à  des fins domestiques (pour boire, laver, cuisiner, etc.): Non",NA,64,86,87,88,97,82,90,96,85,90,88,81,56,94,80,99,71,91,86,84,94,91
EHA,Mécanisme d’adaptation,"Réduire la quantité d'eau utilisée à  des fins domestiques (pour boire, laver, cuisiner, etc.): Oui",NA,36,14,13,12,2,18,10,4,15,10,11,19,44,6,20,1,29,9,14,16,5,9
EHA,Mécanisme d’adaptation,Utiliser de l'eau non sûre (sans la bouillir ou la purifier) d'une source non-améliorée: Je ne sais pas / préfère ne pas répondre,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,NA,NA,1,NA,NA
EHA,Mécanisme d’adaptation,Utiliser de l'eau non sûre (sans la bouillir ou la purifier) d'une source non-améliorée: Non,NA,85,97,93,84,84,91,94,87,94,68,90,87,84,85,80,76,81,99,73,87,95,88
EHA,Mécanisme d’adaptation,Utiliser de l'eau non sûre (sans la bouillir ou la purifier) d'une source non-améliorée: Oui,NA,15,3,7,16,15,9,6,13,6,32,10,13,16,15,20,21,19,1,27,13,5,12
EHA,Eau,Accès à suffisamment d’eau pour répondre aux besoins: Insuffisant,NA,31,36,18,19,9,33,38,6,32,10,52,48,53,16,29,6,26,26,12,39,11,23
EHA,Eau,Accès à suffisamment d’eau pour répondre aux besoins: Juste assez suffisant,NA,38,18,30,13,8,15,18,18,13,32,19,29,24,14,10,9,11,32,14,10,26,11
EHA,Eau,Accès à suffisamment d’eau pour répondre aux besoins: Pas suffisant du tout,NA,1,1,NA,1,NA,3,1,1,5,2,3,3,4,NA,NA,3,18,2,1,2,2,3
EHA,Eau,Accès à suffisamment d’eau pour répondre aux besoins: Plus que suffisant,NA,2,5,4,18,8,5,3,3,4,3,1,NA,NA,4,6,11,4,11,19,9,2,11
EHA,Eau,Accès à suffisamment d’eau pour répondre aux besoins: Suffisant,NA,28,40,48,49,75,44,41,72,46,54,25,19,20,66,55,72,41,29,55,40,59,53
EHA,Eau,Accès à une source d’eau propre/améliorée en saison sèche: Je ne sais pas / préfère ne pas répondre,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
EHA,Eau,Accès à une source d’eau propre/améliorée en saison sèche: Non,NA,20,14,17,19,11,15,10,17,18,30,34,33,30,5,16,22,18,10,18,10,20,22
EHA,Eau,Accès à une source d’eau propre/améliorée en saison sèche: Oui,NA,80,86,83,81,89,85,90,83,82,70,66,67,70,95,84,78,82,90,82,90,80,78
EHA,Eau,Groupes n’ayant pas accès à l’eau: Les filLes (< 18ans),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Personnes âgées/difficulté à se déplacer/voir ayant accès à la source d’eau principale: Non,Sous-ensemble de donnée,32,64,20,63,NA,32,44,53,80,40,68,66,78,66,94,35,42,67,42,66,41,43
EHA,Eau,Personnes âgées/difficulté à se déplacer/voir ayant accès à la source d’eau principale: Oui,Sous-ensemble de donnée,68,36,80,37,100,68,56,47,20,60,32,34,22,34,6,65,58,33,58,34,59,57
EHA,Eau,Principale raison pour manque d’eau: Autre (merci de préciser),Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
EHA,Eau,"Principale raison pour manque d’eau: Certains groupes (enfants, femmes, personnes âgées, minorités ethniques) n’ont pas accès aux sources d’eau",Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale raison pour manque d’eau: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
EHA,Eau,Principale raison pour manque d’eau: L'attente est trop longue / nombre insuffisant de sources d’eau,Sous-ensemble de donnée,71,84,66,61,58,77,68,58,79,31,77,84,81,51,30,16,59,83,67,63,51,71
EHA,Eau,Principale raison pour manque d’eau: L’eau n’est pas disponible au marché,Sous-ensemble de donnée,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale raison pour manque d’eau: La distance au point d'eau est trop grande,Sous-ensemble de donnée,16,4,12,9,8,10,6,25,7,25,12,6,2,26,4,16,32,2,NA,10,38,15
EHA,Eau,"Principale raison pour manque d’eau: La qualité de l’eau n’est pas bonne (l'eau est brunâtre, odorante ou salée)",Sous-ensemble de donnée,1,NA,4,7,NA,0,4,6,7,8,4,NA,3,0,13,16,NA,4,9,4,NA,4
EHA,Eau,Principale raison pour manque d’eau: La route est difficile d’accès,Sous-ensemble de donnée,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,0,NA,3,NA,1,NA,NA,NA,NA,NA
EHA,Eau,Principale raison pour manque d’eau: La route ou le lieu de d'accès à l'eau est trop dangereux,Sous-ensemble de donnée,NA,NA,1,1,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale raison pour manque d’eau: La source d’eau ne fonctionne pas / est fermée,Sous-ensemble de donnée,2,2,9,6,NA,10,5,4,7,13,0,2,7,4,6,22,6,1,6,7,NA,6
EHA,Eau,Principale raison pour manque d’eau: Pas assez de récipients pour stocker l’eau,Sous-ensemble de donnée,6,8,8,5,NA,0,9,0,1,NA,NA,3,7,NA,3,NA,NA,NA,9,7,NA,NA
EHA,Eau,Principale raison pour manque d’eau: Pas de moyens financiers / l’eau est trop cher,Sous-ensemble de donnée,0,1,NA,4,15,2,1,NA,0,NA,4,3,0,10,34,8,NA,0,NA,3,NA,2
EHA,Eau,Principale raison pour manque d’eau: Pas de ressources en eau,Sous-ensemble de donnée,1,2,NA,6,11,NA,3,5,NA,19,3,1,NA,9,7,22,2,10,4,6,11,NA
EHA,Eau,"Principale source d’eau pour boire: Autre, précisez",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale source d’eau pour boire: Borne Fontaine,NA,8,8,5,7,15,7,5,2,3,6,9,12,15,5,30,12,1,5,7,2,9,14
EHA,Eau,"Principale source d’eau pour boire: Cours d'eau (fleuve, rivière, ruisseau, eau de surface, etc.)",NA,1,1,1,0,NA,7,1,NA,2,NA,3,NA,6,0,2,1,NA,0,NA,1,NA,NA
EHA,Eau,Principale source d’eau pour boire: Eau amenée par camion,NA,NA,3,1,0,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale source d’eau pour boire: Eau de pluie,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale source d’eau pour boire: Eau du robinet dans concession,NA,12,4,10,4,3,4,4,1,2,NA,5,2,2,2,5,1,4,0,3,1,5,1
EHA,Eau,Principale source d’eau pour boire: Eau en bouteille - sachet,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Eau,Principale source d’eau pour boire: Forage avec une PMH (Pompe à Motricité Humaine),NA,54,76,35,31,38,75,64,29,68,23,76,50,59,24,32,13,71,88,19,67,63,52
EHA,Eau,Principale source d’eau pour boire: Poste d'eau autonome (robinets publics),NA,21,7,3,2,7,7,5,4,19,1,5,19,16,7,15,NA,11,3,3,7,3,4
EHA,Eau,Principale source d’eau pour boire: Puits aménagé / protégé,NA,2,1,14,23,14,0,10,19,2,26,2,2,1,15,10,19,1,2,42,8,9,16
EHA,Eau,Principale source d’eau pour boire: Puits traditionnel / non protégé,NA,1,1,31,32,24,0,10,44,4,44,0,7,1,46,6,53,3,NA,26,12,9,12
EHA,Eau,Principale source d’eau pour boire: Source aménagée,NA,0,NA,NA,1,NA,0,NA,NA,0,NA,NA,1,1,0,NA,NA,NA,NA,1,0,NA,1
EHA,Eau,Principale source d’eau pour boire: Source non aménagée,NA,NA,NA,1,1,NA,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,9,0,NA,2,1,0
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): 46 minutes ou plus,NA,39,34,14,19,10,15,27,5,19,4,40,57,55,7,9,4,22,18,16,26,8,35
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Eau dans la concession,NA,14,5,11,9,15,4,7,19,3,15,4,4,2,12,7,31,4,0,5,1,12,1
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Entre 16 et 30 minutes,NA,16,25,32,30,20,31,20,24,26,12,17,13,14,22,26,13,28,28,29,21,11,33
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Entre 31 et 45 minutes,NA,11,19,25,14,10,22,23,3,18,7,21,19,10,6,23,6,14,18,10,17,12,13
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Entre 5 et 15 minutes,NA,16,14,15,25,24,17,21,28,29,23,11,7,11,35,21,18,25,27,33,23,21,17
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Moins de 5 minutes,NA,3,3,3,3,21,9,3,21,5,37,5,1,7,18,15,29,6,9,6,11,36,0
EHA,Eau,Temps de collecte de l‘eau à source principale (attente et collecte): Ne sait pas,NA,1,NA,NA,1,NA,1,NA,NA,1,0,1,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA
EHA,Eau,Temps de trajet aller-retour vers source principale: 46 minutes ou plus,NA,15,6,1,2,2,3,4,3,4,0,12,8,17,4,0,NA,5,8,1,5,4,2
EHA,Eau,Temps de trajet aller-retour vers source principale: Eau dans la concession,NA,14,5,11,9,15,4,6,19,3,15,4,4,2,12,7,30,4,0,5,1,12,1
EHA,Eau,Temps de trajet aller-retour vers source principale: Entre 16 et 30 minutes,NA,14,22,26,20,15,29,25,7,22,5,20,28,21,13,26,9,26,15,19,29,17,20
EHA,Eau,Temps de trajet aller-retour vers source principale: Entre 31 et 45 minutes,NA,6,12,4,5,2,15,11,1,14,1,4,14,10,4,10,1,6,5,4,11,3,8
EHA,Eau,Temps de trajet aller-retour vers source principale: Entre 5 et 15 minutes,NA,30,40,47,41,37,40,41,37,40,30,46,36,33,35,43,28,39,55,30,35,26,36
EHA,Eau,Temps de trajet aller-retour vers source principale: Moins de 5 minutes,NA,20,14,10,24,29,9,13,33,17,49,13,11,17,33,13,32,20,17,41,18,39,34
EHA,Eau,Temps de trajet aller-retour vers source principale: Ne sait pas,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,2,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA
EHA,Assainissement,Latrines hygiéniques: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Assainissement,Latrines hygiéniques: Non,Sous-ensemble de donnée,41,33,44,32,50,57,36,47,45,44,29,40,49,42,65,43,46,33,33,42,41,32
EHA,Assainissement,Latrines hygiéniques: Oui,Sous-ensemble de donnée,59,67,56,68,50,43,64,53,54,55,71,60,51,58,35,57,54,67,67,58,59,68
EHA,Assainissement,Nombre de personnes partageant latrine: Latrines communautaires partagées par 21 à 50 personnes,Sous-ensemble de donnée,14,24,9,16,6,0,16,7,3,4,2,15,9,7,3,10,5,10,13,2,1,11
EHA,Assainissement,Nombre de personnes partageant latrine: Latrines communautaires partagées par moins de 20 personnes,Sous-ensemble de donnée,35,44,31,44,63,38,54,76,59,60,35,53,61,81,31,66,73,65,62,46,75,64
EHA,Assainissement,Nombre de personnes partageant latrine: Latrines communautaires partagées par plus de 50 personnes,Sous-ensemble de donnée,NA,5,0,6,1,NA,7,NA,NA,1,1,NA,1,NA,NA,NA,NA,0,4,NA,NA,8
EHA,Assainissement,Nombre de personnes partageant latrine: Latrines individuelles,Sous-ensemble de donnée,51,28,60,34,29,62,23,17,38,35,62,32,29,12,65,23,22,25,21,52,23,17
EHA,Assainissement,Personnes âgées/difficulté à se déplacer/voir ayant accès facilement aux latrines: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7,NA,NA,NA,NA,NA,NA,12,NA
EHA,Assainissement,Personnes âgées/difficulté à se déplacer/voir ayant accès facilement aux latrines: Non,Sous-ensemble de donnée,73,66,42,83,76,100,44,42,69,47,69,43,70,43,72,48,91,46,58,90,41,81
EHA,Assainissement,Personnes âgées/difficulté à se déplacer/voir ayant accès facilement aux latrines: Oui,Sous-ensemble de donnée,27,34,58,17,24,NA,56,58,31,53,31,57,30,50,28,52,9,54,42,10,47,19
EHA,Assainissement,Type latrine utilisée: Autres (merci de préciser),NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Assainissement,"Type latrine utilisée: Défécation à l'air libre (DAL) dans zone précise et aménagée (bâche, pelle, …)",NA,1,0,NA,2,1,2,1,1,3,3,0,1,2,2,1,NA,2,NA,1,1,3,3
EHA,Assainissement,Type latrine utilisée: Défécation à l'air libre dans un cours d’eau,NA,2,NA,NA,NA,2,0,NA,0,2,NA,5,2,0,NA,2,NA,5,1,1,3,NA,4
EHA,Assainissement,Type latrine utilisée: Défécation à l'air libre dans une zone précise non aménagée,NA,6,7,10,4,3,5,5,8,1,1,9,5,4,9,2,3,8,2,5,2,1,6
EHA,Assainissement,Type latrine utilisée: Défécation à l'air libre sans zone précise,NA,21,23,15,14,31,35,18,19,31,34,22,15,24,18,32,20,37,34,24,52,20,49
EHA,Assainissement,Type latrine utilisée: Je ne sais pas / préfère ne pas répondre,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Assainissement,Type latrine utilisée: Latrine privée,NA,53,26,58,48,35,44,29,46,33,35,43,57,44,47,54,54,25,26,42,29,35,22
EHA,Assainissement,Type latrine utilisée: Latrine privée partagée,NA,15,24,11,18,15,7,34,22,27,16,8,21,20,23,7,16,23,33,26,13,19,14
EHA,Assainissement,Type latrine utilisée: Latrine publique,NA,2,20,5,12,5,6,12,2,3,9,13,NA,6,0,1,2,1,4,1,0,23,2
EHA,Assainissement,Type latrine utilisée: Toilette à chasse d'eau mécanique ou manuelle?,NA,NA,NA,NA,NA,8,NA,NA,1,NA,1,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA
EHA,Hygiène,% des enfants de moins de 5ans ayant diarrhée dans les 2 dernières semaines,NA,27,15,15,15,24,18,10,14,30,19,45,15,34,21,27,19,26,14,22,32,10,21
EHA,Hygiène,Accès au savon: Je ne sais pas / préfère ne pas répondre,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,2,0,NA,1
EHA,Hygiène,Accès au savon: Non,NA,13,30,23,29,21,44,18,36,46,30,33,19,25,47,49,31,51,28,32,45,25,33
EHA,Hygiène,Accès au savon: Oui,NA,87,70,76,71,79,56,82,64,54,70,67,81,75,53,51,69,48,71,66,55,75,65
EHA,Hygiène,"Dispositif de lavage des mains: Autre, préciser",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
EHA,Hygiène,Dispositif de lavage des mains: Bouilloire / arrosoir pour verser l'eau sur les mains,NA,65,76,71,68,66,75,86,75,64,71,66,77,63,69,66,73,48,83,75,59,70,67
EHA,Hygiène,Dispositif de lavage des mains: Evier avec eau courante,NA,NA,0,1,2,NA,NA,2,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,2,NA,NA,0
EHA,Hygiène,Dispositif de lavage des mains: Ne sait pas,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
EHA,Hygiène,Dispositif de lavage des mains: Pas de dispositif particulier (pas de dispositif ou juste un seau ou similaire sans robinet),NA,33,8,12,25,32,22,4,23,35,27,33,21,35,26,31,27,45,16,22,38,30,30
EHA,Hygiène,Dispositif de lavage des mains: Seau avec robinet,NA,1,8,7,3,1,2,4,0,NA,0,0,1,NA,2,1,NA,1,0,1,1,NA,1
EHA,Hygiène,"Dispositif de lavage des mains: Tippy tap (dispostif artisanal fabriqué avec du matériel local : poutre, seau et système de levier avec une corde)",NA,1,7,9,3,1,2,4,1,1,1,0,2,1,2,2,1,2,1,NA,2,1,0
EHA,Hygiène,Méthode de lavage des mains hier: Autres (à préciser),NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Hygiène,Méthode de lavage des mains hier: Avec de l'eau simple,NA,32,29,46,35,38,45,29,48,45,56,47,37,42,50,50,44,45,47,45,50,46,59
EHA,Hygiène,Méthode de lavage des mains hier: Avec de la cendre,NA,2,5,1,5,1,15,5,2,5,0,0,3,2,5,13,1,12,3,1,12,1,NA
EHA,Hygiène,Méthode de lavage des mains hier: Avec du savon,NA,66,66,53,60,61,40,66,50,50,44,52,61,56,45,37,56,43,51,54,37,53,41
EHA,Hygiène,Méthode de lavage des mains hier: Je ne sais pas ou je ne souhaite pas répondre,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHA,Hygiène,Moments du lavage des mains du ménage hier: Ablution et/ou après manger,NA,64,50,87,73,53,44,50,70,33,38,79,76,68,74,44,53,24,52,57,39,48,52
EHA,Hygiène,Moments du lavage des mains du ménage hier: Après la toilette ou la latrine,NA,52,70,64,57,52,59,64,40,69,45,67,67,68,46,60,57,59,59,52,48,56,34
EHA,Hygiène,Moments du lavage des mains du ménage hier: Après le nettoyage ou changement des couches de l’enfant,NA,3,8,35,10,5,9,11,4,16,2,28,6,4,3,4,5,20,3,6,7,3,2
EHA,Hygiène,Moments du lavage des mains du ménage hier: Au retour des champs,NA,9,19,29,31,48,43,28,36,43,23,32,12,10,33,37,35,57,36,52,50,29,59
EHA,Hygiène,Moments du lavage des mains du ménage hier: Aucun,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EHA,Hygiène,Moments du lavage des mains du ménage hier: Autres (à préciser),NA,1,0,1,2,3,0,0,1,3,1,1,1,0,1,0,7,1,0,0,0,0,1
EHA,Hygiène,Moments du lavage des mains du ménage hier: Avant de donner le sein à l’enfant,NA,4,12,15,6,1,8,14,1,12,5,32,2,3,1,6,3,15,7,3,8,3,0
EHA,Hygiène,Moments du lavage des mains du ménage hier: Avant de manger,NA,98,95,98,96,99,93,96,100,95,100,100,98,99,98,96,99,93,90,99,99,99,96
EHA,Hygiène,Moments du lavage des mains du ménage hier: Avant de préparer les aliments,NA,10,36,54,37,21,43,36,18,46,26,42,15,9,17,27,23,44,35,38,36,30,20
EHA,Hygiène,Moments du lavage des mains du ménage hier: Je ne sais pas / préfère ne pas répondre,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Protection,Sécurité,Au moins un membre du ménage affecté par incident sécuritaire: Je ne sais pas / préfère ne pas répondre,NA,NA,NA,0,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Protection,Sécurité,Au moins un membre du ménage affecté par incident sécuritaire: Non,NA,99,98,92,95,99,91,96,93,93,98,91,96,97,91,81,96,96,96,95,92,96,95
Protection,Sécurité,Au moins un membre du ménage affecté par incident sécuritaire: Oui,NA,1,2,8,5,1,9,4,7,6,1,8,4,3,9,19,4,4,4,5,8,4,5
Protection,Sécurité,Préoccupation en matière de protection des femmes: Non,Sous-ensemble de donnée,48,82,19,53,93,70,87,79,77,98,40,28,42,83,49,82,86,75,60,59,92,40
Protection,Sécurité,Préoccupation en matière de protection des femmes: Oui,Sous-ensemble de donnée,52,18,81,47,7,30,13,21,23,2,60,72,58,17,51,18,14,25,40,41,8,60
Protection,Sécurité,Préoccupation en matière de protection des filles (moins de 18 ans): Non,Sous-ensemble de donnée,53,86,30,53,91,68,93,83,85,94,43,37,58,87,57,82,88,79,66,64,92,47
Protection,Sécurité,Préoccupation en matière de protection des filles (moins de 18 ans): Oui,Sous-ensemble de donnée,47,14,70,47,9,32,7,17,15,6,57,63,42,13,43,18,12,21,34,36,8,53
Protection,Sécurité,Préoccupation en matière de protection des garçons (moins de 18 ans): Non,Sous-ensemble de donnée,54,85,24,60,94,61,93,84,81,94,44,32,55,86,49,92,85,82,70,64,92,52
Protection,Sécurité,Préoccupation en matière de protection des garçons (moins de 18 ans): Oui,Sous-ensemble de donnée,46,15,76,40,6,39,7,16,19,6,56,68,45,14,51,8,15,18,30,36,8,48
